Rk,Player,Nation,Pos,Squad,Age,Born,MP_playingtime,Starts_playingtime,Min_playingtime,Gls_performance,Ast_performance,PK_performance,PKatt_performance,CrdY_performance,CrdR_performance,Gls_per90min,Ast_per90min,G_plus_A_per90min,G_minus_PK_per90min,G_plus_A_minus_PK_per90min
111,Marky Delgado\Marky-Delgado,us USA,MF,Toronto FC,19,1995,20,19,1696,3,2,0,0,3,0,0.16,0.11,0.27,0.16,0.27
112,Clint Dempsey\Clint-Dempsey,us USA,FWMF,Seattle,31,1983,20,20,1737,10,9,1,1,1,0,0.52,0.47,0.98,0.47,0.93
113,Tyler Deric\Tyler-Deric,us USA,GK,Houston,26,1988,31,31,2790,0,0,0,0,2,0,0,0,0,0,0
114,Amadou Dia\Amadou-Dia,us USA,DF,Sporting KC,21,1993,22,13,1323,0,1,0,0,2,0,0,0.07,0.07,0,0.07
115,Mauro Díaz\Mauro-Diaz,ar ARG,MF,FC Dallas,23,1991,24,24,1978,8,10,3,3,3,0,0.36,0.46,0.82,0.23,0.68
116,Bright Dike\Bright-Dike,ng NGA,FW,Toronto FC,27,1987,2,0,22,0,1,0,0,0,0,0,4.09,4.09,0,4.09
117,Mix Diskerud\Mix-Diskerud,us USA,DFMF,NYCFC,24,1990,27,23,2070,3,1,0,0,3,0,0.13,0.04,0.17,0.13,0.17
118,Marco Donadel\Marco-Donadel,it ITA,MF,Montreal,31,1983,25,24,1995,1,5,0,0,13,2,0.05,0.23,0.27,0.05,0.27
119,Conor Donovan\Conor-Donovan,us USA,DF,Orlando City,19,1996,1,1,13,0,0,0,0,0,0,0,0,0,0,0
120,Patrick Doody\Patrick-Doody,us USA,DF,Chicago,22,1992,7,6,559,0,1,0,0,1,0,0,0.16,0.16,0,0.16
121,Andy Dorman\Andy-Dorman,wal WAL,MF,New England,32,1982,18,12,1125,1,0,0,0,8,0,0.08,0,0.08,0.08,0.08
122,Giovani dos Santos\Giovani-dos-Santos,mx MEX,FWMF,LA Galaxy,25,1989,10,10,799,3,5,0,0,0,0,0.34,0.56,0.9,0.34,0.9
123,Conor Doyle\Conor-Doyle,ie IRL,FW,D.C. United,23,1991,25,10,1151,2,0,0,0,4,0,0.16,0,0.16,0.16,0.16
124,Kevin Doyle\Kevin-Doyle,ie IRL,FW,Colorado,31,1983,20,16,1526,5,2,0,0,3,0,0.29,0.12,0.41,0.29,0.41
